gate,model,method,method_id,direction,f_low,f_high,semitones,pct_deviance,trough_uv,n_agree,lit_deepest_uv,margin_uv
all,whisper-base,method_1750,1750,regular,1600.0,7611.0,27.0002,375.6875,-2.6459,6,-1.3437,-1.3022
all,whisper-base,method_1042,1042,regular,200.0,7611.0,63.0002,3705.5,-2.3934,5,-1.3437,-1.0496
all,whisper-base,method_1767,1767,regular,1745.0,7611.0,25.4983,336.1605,-2.3932,4,-1.3437,-1.0495
all,whisper-base,method_1713,1713,regular,1345.0,7611.0,30.0058,465.8736,-2.3782,4,-1.3437,-1.0345
all,whisper-base,method_1783,1783,regular,1903.0,7611.0,23.9977,299.9475,-2.2366,5,-1.3437,-0.8929
all,whisper-base,method_1603,1603,regular,872.0,7611.0,37.5082,772.8211,-2.1658,6,-1.3437,-0.8221
all,whisper-base,method_1578,1578,regular,800.0,7611.0,39.0002,851.375,-2.1648,5,-1.3437,-0.8212
all,whisper-base,method_1875,1875,regular,3805.0,7611.0,12.0023,100.0263,-2.1626,5,-1.3437,-0.8189
all,whisper-base,method_1744,1744,regular,1600.0,4525.0,17.9982,182.8125,-2.0534,5,-1.3437,-0.7097
all,whisper-base,method_1747,1747,regular,1600.0,5869.0,22.5005,266.8125,-2.0249,5,-1.3437,-0.6812
all,whisper-base,method_1746,1746,regular,1600.0,5382.0,21.0008,236.375,-1.9727,5,-1.3437,-0.629
all,whisper-base,method_1749,1749,regular,1600.0,6979.0,25.4994,336.1875,-1.9625,4,-1.3437,-0.6188
all,whisper-base,method_1745,1745,regular,1600.0,4935.0,19.4997,208.4375,-1.9501,5,-1.3437,-0.6064
all,whisper-base,method_1324_counter,1324,counter,400.0,1600.0,24.0,300.0,-1.9396,4,-1.3437,-0.5959
all,whisper-base,method_1798,1798,regular,2075.0,7611.0,22.4997,266.7952,-1.8839,5,-1.3437,-0.5402
all,whisper-base,method_1323_counter,1323,counter,400.0,1467.0,22.4976,266.75,-1.8758,3,-1.3437,-0.5321
all,whisper-base,method_1729,1729,regular,1467.0,5869.0,24.003,300.0682,-1.8593,5,-1.3437,-0.5156
all,whisper-base,method_1727,1727,regular,1467.0,4935.0,21.0022,236.4008,-1.8577,5,-1.3437,-0.514
all,whisper-base,method_1748,1748,regular,1600.0,6400.0,24.0,300.0,-1.8343,4,-1.3437,-0.4906
all,whisper-base,method_1708,1708,regular,1345.0,4935.0,22.5053,266.9145,-1.8248,5,-1.3437,-0.4811
all,whisper-base,method_1400_counter,1400,counter,476.0,4150.0,37.4889,771.8487,-1.8216,4,-1.3437,-0.4779
all,whisper-base,method_1762,1762,regular,1745.0,4935.0,17.9979,182.808,-1.8184,5,-1.3437,-0.4747
all,whisper-base,method_1627,1627,regular,951.0,7611.0,36.0068,700.3155,-1.7866,6,-1.3437,-0.443
all,whisper-base,method_1123,1123,regular,238.0,7611.0,59.9886,3097.8992,-1.7606,5,-1.3437,-0.4169
all,whisper-base,method_1418_counter,1418,counter,519.0,1345.0,16.4856,159.1522,-1.7064,5,-1.3437,-0.3627
all,whisper-base,method_1710,1710,regular,1345.0,5869.0,25.5061,336.3569,-1.7016,5,-1.3437,-0.3579
all,whisper-base,method_1301_counter,1301,counter,367.0,4150.0,41.9911,1030.7902,-1.6887,5,-1.3437,-0.345
all,whisper-base,method_1778,1778,regular,1903.0,4935.0,16.4973,159.3274,-1.6842,3,-1.3437,-0.3405
all,whisper-base,method_1387_counter,1387,counter,476.0,1345.0,17.9829,182.563,-1.6784,5,-1.3437,-0.3347
all,whisper-base,method_1709,1709,regular,1345.0,5382.0,24.0064,300.1487,-1.675,5,-1.3437,-0.3313
all,whisper-base,method_1730,1730,regular,1467.0,6400.0,25.5024,336.2645,-1.6707,5,-1.3437,-0.327
all,whisper-base,method_1874,1874,regular,3805.0,6979.0,10.5015,83.4166,-1.6508,5,-1.3437,-0.3071
all,whisper-base,method_1552,1552,regular,734.0,7611.0,40.4908,936.921,-1.65,4,-1.3437,-0.3063
all,whisper-base,method_1712,1712,regular,1345.0,6979.0,28.505,418.8848,-1.6417,5,-1.3437,-0.298
all,whisper-base,method_1848,1848,regular,2934.0,7611.0,16.5026,159.407,-1.6228,4,-1.3437,-0.2791
all,whisper-base,method_1355_counter,1355,counter,436.0,1345.0,19.5025,208.4862,-1.6186,5,-1.3437,-0.2749
all,whisper-base,method_1763,1763,regular,1745.0,5382.0,19.499,208.4241,-1.6082,5,-1.3437,-0.2645
all,whisper-base,method_1577,1577,regular,800.0,6979.0,37.4994,772.375,-1.5953,4,-1.3437,-0.2516
